GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Q.A.8,ru.netology.statistic,Main,4,0,0,0,2,0,2,0,2,0
Q.A.8,ru.netology.statistic,StatisticsService,2,31,1,3,1,6,1,3,0,2
